ID do Frame,Quadril Esquerdo,Joelho Esquerdo,Tornozelo Esquerdo,Ângulo
81,"[0.4824373722076416, 0.5262232422828674]","[0.4975565969944, 0.6885248422622681]","[0.5011578798294067, 0.8505111932754517]",175.9515548341592
82,"[0.4829934537410736, 0.5262006521224976]","[0.4975363314151764, 0.6874919533729553]","[0.49994367361068726, 0.8504423499107361]",175.69423669678835
83,"[0.48238205909729004, 0.5261576175689697]","[0.49755868315696716, 0.6857045888900757]","[0.4991608262062073, 0.8507328629493713]",175.12241670077674
84,"[0.48240208625793457, 0.5261387228965759]","[0.497654527425766, 0.6857660412788391]","[0.49925655126571655, 0.8512874841690063]",175.09646858471245
85,"[0.4821568429470062, 0.5261068344116211]","[0.4977985918521881, 0.6862270832061768]","[0.4994533658027649, 0.8528808355331421]",174.98951534249093
86,"[0.4823790192604065, 0.5260106325149536]","[0.498837411403656, 0.6862216591835022]","[0.4996225833892822, 0.8538417220115662]",174.40299596305343
87,"[0.4825441241264343, 0.5255833864212036]","[0.49922680854797363, 0.688079297542572]","[0.49966883659362793, 0.8553430438041687]",174.28966635645685
88,"[0.4826328158378601, 0.524864912033081]","[0.4994366765022278, 0.6880771517753601]","[0.5007419586181641, 0.855501651763916]",174.56838677389268
89,"[0.48315876722335815, 0.5236899256706238]","[0.49944108724594116, 0.6880753040313721]","[0.5027166604995728, 0.8560416102409363]",175.46052647413086
90,"[0.48352760076522827, 0.5226346254348755]","[0.49944478273391724, 0.6868748664855957]","[0.5035354495048523, 0.8566159009933472]",175.84505279114387
91,"[0.48428353667259216, 0.5226427912712097]","[0.49945902824401855, 0.6879964470863342]","[0.5036576986312866, 0.8578900694847107]",176.17200630645564
92,"[0.4862446188926697, 0.5229305028915405]","[0.49946171045303345, 0.6891282200813293]","[0.5038642287254333, 0.8579496741294861]",176.94686565591792
93,"[0.48867422342300415, 0.5238706469535828]","[0.49947208166122437, 0.6900629997253418]","[0.5042787194252014, 0.8581623435020447]",177.92047155726496
94,"[0.4906613230705261, 0.5276992321014404]","[0.4995950162410736, 0.6920449733734131]","[0.5050868391990662, 0.8581469058990479]",178.78219173357414
95,"[0.49535369873046875, 0.5279092788696289]","[0.5008749961853027, 0.6920190453529358]","[0.5061444044113159, 0.8581212162971497]",179.89010767360713
96,"[0.49852997064590454, 0.5282324552536011]","[0.5019108057022095, 0.6920033097267151]","[0.5059800148010254, 0.858277440071106]",179.78071475876277
97,"[0.5003060102462769, 0.528157651424408]","[0.5029555559158325, 0.692136824131012]","[0.505774199962616, 0.8592610955238342]",179.9594605692185
98,"[0.5035575032234192, 0.5262734889984131]","[0.5040612816810608, 0.6918840408325195]","[0.5052586793899536, 0.8592087626457214]",179.76428103241201
99,"[0.5070277452468872, 0.5258393883705139]","[0.5048689246177673, 0.6915850043296814]","[0.505761444568634, 0.8591607809066772]",178.94861188422448
100,"[0.5095604658126831, 0.5250957012176514]","[0.5060538649559021, 0.6911819577217102]","[0.506557822227478, 0.8593623042106628]",178.61879846483865
101,"[0.5117191076278687, 0.5242319703102112]","[0.5068134665489197, 0.6911200284957886]","[0.5054077506065369, 0.8593350052833557]",178.79507725270793
102,"[0.5144606232643127, 0.5241162776947021]","[0.5102165937423706, 0.692210853099823]","[0.5055315494537354, 0.8614959120750427]",179.86100575872572
103,"[0.5165256261825562, 0.5236819386482239]","[0.5121793746948242, 0.6928170919418335]","[0.5057136416435242, 0.8615204691886902]",179.27715444757573
104,"[0.5184077024459839, 0.5228692889213562]","[0.5147534608840942, 0.6928035020828247]","[0.5057786703109741, 0.859865128993988]",178.15683491877118
105,"[0.5201878547668457, 0.5225164890289307]","[0.5150858163833618, 0.6931307315826416]","[0.5058800578117371, 0.8593091368675232]",178.5420949024787
106,"[0.5210551023483276, 0.5223162770271301]","[0.5168154239654541, 0.6933016180992126]","[0.506738543510437, 0.8589390516281128]",177.93897916548303
107,"[0.5216595530509949, 0.5222218632698059]","[0.517362654209137, 0.6934706568717957]","[0.5074210166931152, 0.8588317036628723]",177.99681221461225
108,"[0.5209106206893921, 0.5276585221290588]","[0.5168436169624329, 0.6981104612350464]","[0.5073964595794678, 0.8589692115783691]",178.0057319042364
109,"[0.5204437375068665, 0.528350293636322]","[0.5163728594779968, 0.6994717121124268]","[0.5073937177658081, 0.8592063188552856]",178.14540131849768
110,"[0.5201225280761719, 0.5281107425689697]","[0.516074001789093, 0.6999728679656982]","[0.5073779225349426, 0.8605586290359497]",178.24978967784915
111,"[0.5196999311447144, 0.52801114320755]","[0.515857994556427, 0.7000744938850403]","[0.5066119432449341, 0.8617391586303711]",178.00578407463652
112,"[0.5193965435028076, 0.5259236693382263]","[0.5152705311775208, 0.6998522877693176]","[0.5044643878936768, 0.8619695901870728]",177.54545636770905
113,"[0.51921546459198, 0.5225403904914856]","[0.5144832134246826, 0.6997222304344177]","[0.5037561655044556, 0.8631184697151184]",177.77380978688177
114,"[0.519155740737915, 0.5221381783485413]","[0.5143767595291138, 0.6996100544929504]","[0.5031905174255371, 0.8636323809623718]",177.6409913210378
115,"[0.5190711617469788, 0.5202124714851379]","[0.5143214464187622, 0.6995795369148254]","[0.5028783679008484, 0.8632926344871521]",177.51855324106813
116,"[0.5178529024124146, 0.5192260146141052]","[0.5124605894088745, 0.6995276808738708]","[0.5015391111373901, 0.863312840461731]",177.89810988762852
117,"[0.5166240930557251, 0.5186648964881897]","[0.5129163265228271, 0.6992018222808838]","[0.5016524195671082, 0.863283634185791]",177.24945725036716
118,"[0.5131605863571167, 0.5180633068084717]","[0.512911856174469, 0.6977391839027405]","[0.5017823576927185, 0.8632718324661255]",176.23285414045012
119,"[0.5111526250839233, 0.5165133476257324]","[0.5129756927490234, 0.696807324886322]","[0.5021284222602844, 0.8632540106773376]",175.69199289404705
120,"[0.5089482665061951, 0.5162613987922668]","[0.5130626559257507, 0.6966002583503723]","[0.5021831393241882, 0.8636199235916138]",174.96610452150892
121,"[0.5076429843902588, 0.5158818960189819]","[0.5139262080192566, 0.6944785118103027]","[0.5022350549697876, 0.8637699484825134]",174.03456725293086
